year,anom
1913,-0.149285746233072
1970,-0.122997486826745
2000,0.656616961602392
1962,-0.0353031949762362
1975,0.0168205563353508
1947,-0.0681412133354837
1980,0.0347777672725273
1981,0.396017351599983
1931,0.521940466881542
2013,0.574228800439817
1972,-0.325199647342657
2007,1.00797412730005
1956,-0.3743629194584
1902,-0.441815652849795
1948,-0.058894530916201
1984,-0.0517594601012436
1957,0.00835311433802383
1961,0.140254031388811
1914,-0.0600786289174276
2002,0.836466983691208
1925,0.000687094235384688
1992,0.22761970471193
1916,-0.516086960781644
2008,0.549360685262175
1958,0.0385100171217186
1971,-0.144428121324712
1985,-0.193227641119308
1988,0.336420944642127
1926,-0.160689605204955
1963,0.0126637619934057
1929,-0.603584772667847
2003,0.65200875918214
1928,-0.0846926842812858
1951,-0.237953232355681
1930,0.0751916634075322
1999,0.926508517268126
1996,-0.0198875418488554
2005,0.882025234927375
1968,-0.171513849176091
1905,-0.538385024801211
1946,0.221130617562252
1903,-0.552230096628716
2004,0.711854788895983
1954,0.0823995365632719
1924,-0.674709330664928
1908,-0.204494731661728
1938,0.487641053045968
1966,-0.0774947974926452
1942,-0.0203693828528415
1912,-0.722147476505935
1995,0.441093512327863
1973,0.212334263632103
1927,-0.159790250325866
1941,0.186380389742207
2001,0.852847681845183
1917,-1.11393196692806
1997,0.33525908601556
2014,0.635291492539715
1994,0.473623204704329
2016,1.47814237183747
1960,-0.0643999576200053
1987,0.432872925812755
1978,-0.179570842458994
2006,1.1014590888802
1906,-0.160520891550756
1993,-0.065113123856577
1921,0.568091631115097
1964,-0.198552740665912
1943,-0.0715128642997965
1937,-0.105473420245874
1986,0.2257692181993
1901,-0.279750325569323
1953,0.403055130308739
1959,0.106721523329986
1976,-0.339849845033357
1910,-0.149929301349738
1989,0.212181729480674
2012,1.28514775108647
2011,0.78349508210565
1955,-0.143390831877969
1979,-0.0114423358145118
1939,0.333133496738717
1991,0.586699925288616
1911,-0.0987348062369633
1919,-0.216531686981433
2015,1.29089630821245
1969,-0.226248020311333
2010,0.800840781756846
1967,-0.125938445346207
1932,-0.0493487008508095
1922,-0.0642211290785096
1933,0.0819234469329978
1936,-0.105650719990332
1934,0.450145097027015
1945,-0.194650774454356
1950,-0.371916676566206
1983,0.231348025061658
1904,-0.728902386240358
1940,-0.138495722492257
1982,-0.0858618030757349
1920,-0.390453884820627
1952,0.0748381213107335
2009,0.534757306928227
1923,-0.164920733896461
1998,1.18382674571407
1974,-0.127501957626579
1909,-0.461315131709703
1990,0.733711124183671
1915,-0.157452300866736
1949,0.0589568134808809
1918,-0.228628453636701
1977,0.190854575973278
1965,-0.245061234381448
1907,-0.606338817993192
1935,-0.18560307102525
1944,0.0924596606284096
